county,fall_term,applicants,admits,enrollees,admit_rate,yield_rate
Contra Costa,2025,4393.0,3398.0,1535.0,0.7735033007056681,0.45173631547969395
Marin,2005,575.0,541.0,268.0,0.9408695652173913,0.4953789279112754
Marin,2006,648.0,590.0,304.0,0.9104938271604939,0.5152542372881356
Marin,2007,652.0,601.0,283.0,0.9217791411042945,0.47088186356073214
Marin,2008,645.0,602.0,286.0,0.9333333333333333,0.4750830564784053
Marin,2009,690.0,632.0,268.0,0.9159420289855073,0.4240506329113924
Marin,2010,664.0,605.0,239.0,0.911144578313253,0.3950413223140496
Marin,2011,587.0,447.0,189.0,0.7614991482112436,0.4228187919463087
Marin,2012,661.0,471.0,202.0,0.7125567322239031,0.4288747346072187
Marin,2013,733.0,480.0,209.0,0.654843110504775,0.4354166666666667
Marin,2014,735.0,472.0,213.0,0.6421768707482993,0.451271186440678
Marin,2015,690.0,418.0,183.0,0.6057971014492753,0.43779904306220097
Marin,2016,795.0,558.0,257.0,0.7018867924528301,0.460573476702509
Marin,2017,777.0,472.0,224.0,0.6074646074646075,0.4745762711864407
Marin,2018,879.0,492.0,212.0,0.5597269624573379,0.43089430894308944
Marin,2019,919.0,549.0,277.0,0.5973884657236126,0.5045537340619308
Marin,2020,929.0,620.0,305.0,0.667384284176534,0.49193548387096775
Marin,2021,1112.0,670.0,305.0,0.6025179856115108,0.4552238805970149
Marin,2022,1177.0,668.0,303.0,0.5675446049277825,0.4535928143712575
Marin,2023,1090.0,717.0,300.0,0.6577981651376147,0.41841004184100417
Marin,2024,1128.0,733.0,331.0,0.649822695035461,0.451568894952251
Marin,2025,1137.0,805.0,323.0,0.7080035180299032,0.4012422360248447
Napa,2005,184.0,164.0,84.0,0.8913043478260869,0.5121951219512195
Napa,2006,179.0,165.0,88.0,0.9217877094972067,0.5333333333333333
Napa,2007,202.0,184.0,102.0,0.9108910891089109,0.5543478260869565
Napa,2008,166.0,156.0,76.0,0.9397590361445783,0.48717948717948717
Napa,2009,185.0,155.0,70.0,0.8378378378378378,0.45161290322580644
Napa,2010,220.0,200.0,78.0,0.9090909090909091,0.39
Napa,2011,210.0,149.0,80.0,0.7095238095238096,0.5369127516778524
Napa,2012,214.0,128.0,66.0,0.5981308411214953,0.515625
Napa,2013,261.0,144.0,76.0,0.5517241379310345,0.5277777777777778
Napa,2014,280.0,154.0,87.0,0.55,0.564935064935065
Napa,2015,277.0,148.0,93.0,0.5342960288808665,0.6283783783783784
Napa,2016,309.0,188.0,107.0,0.6084142394822006,0.5691489361702128
Napa,2017,300.0,166.0,105.0,0.5533333333333333,0.6325301204819277
Napa,2018,313.0,186.0,117.0,0.5942492012779552,0.6290322580645161
Napa,2019,295.0,180.0,108.0,0.6101694915254238,0.6
Napa,2020,290.0,180.0,83.0,0.6206896551724138,0.46111111111111114
Napa,2021,362.0,220.0,100.0,0.6077348066298343,0.45454545454545453
Napa,2022,375.0,227.0,118.0,0.6053333333333333,0.5198237885462555
Napa,2023,315.0,218.0,118.0,0.692063492063492,0.5412844036697247
Napa,2024,374.0,249.0,116.0,0.6657754010695187,0.46586345381526106
Napa,2025,289.0,214.0,83.0,0.740484429065744,0.3878504672897196
San Francisco,2005,1331.0,1157.0,800.0,0.8692712246431255,0.6914433880726015
San Francisco,2006,1616.0,1420.0,983.0,0.8787128712871287,0.6922535211267605
